516,Nová Ves,4,2,105414
517,Káraný,4,2,108022
518,Nový Vestec,4,2,108031
519,Dolínek,4,2,108987
520,Odolena Voda,4,2,108995
521,Panenské Břežany,4,2,117552
522,Podolanka,4,2,124141
523,Polerady,4,2,125211
524,Předboj,4,2,134201
525,Přezletice,4,2,135305
526,Radonice,4,2,138240
527,Sedlec,4,2,146676
528,Květnice,4,2,147753
529,Sibřina,4,2,147761
530,Stupice,4,2,147788
531,Sluhy,4,2,150754
532,Sudovo Hlavno,4,2,158895
533,Šestajovice,4,2,162388
534,Škvorec,4,2,162736
535,Třebohostice,4,2,162744
536,Lázně Toušeň,4,2,167851
537,Mírovice,4,2,177741
538,Veleň,4,2,177750
539,Veliká Ves,4,2,177962
540,Větrušice,4,2,181129
541,Hoštice,4,2,184357
542,Vodochody,4,2,184365
543,Kozovazy,4,2,188492
544,Vyšehořovice,4,2,188506
545,Martinov,4,2,191001
546,Záryby,4,2,191019
547,Brnky,4,2,192392
548,Přemyšlení,4,2,192406
549,Zdiby,4,2,192414
550,Mstětice,4,2,192767
551,Svémyslice,4,2,192775
552,Zeleneč,4,2,192783
553,Zlatá,4,2,193011
554,Zlonín,4,2,193348
555,Veltěž,4,2,322105
556,Pakoměřice,4,2,402991
557,Brandýs nad Labem,4,2,403008
558,Stará Boleslav,4,2,403016
559,Nový Brázdim,4,2,403024
560,Starý Brázdim,4,2,403032
561,Čelákovice,4,2,403041
562,Úvaly,4,2,403113
563,Zdibsko,4,2,415758
564,Bílé Podolí,5,2,4065
565,Brambory,5,2,4073
566,Lovčice,5,2,4090
567,Semtěš,5,2,4103
568,Starkoč,5,2,4111
569,Zaříčany,5,2,4120
570,Třebešice,5,2,17779
571,Filipov,5,2,18490
572,Hostovlice,5,2,46001
573,Hraběšín,5,2,46426
574,Chotusice,5,2,53481
575,Kluky,5,2,66681
576,Chedrbí,5,2,74438
577,Krchleby,5,2,74446
578,Močovice,5,2,74454
579,Vodranty,5,2,74462
580,Rohozec,5,2,94102
581,Nová Lhota,5,2,105074
582,Okřesaneč,5,2,109738
583,Olšany,5,2,111040
584,Pucheř,5,2,111058
585,Bratčice,5,2,126381
586,Drobovice,5,2,126390
587,Horky,5,2,126403
588,Potěhy,5,2,126411
589,Souňov,5,2,152480
590,Březí,5,2,162141
591,Šebestěnice,5,2,162159
592,Zbudovice,5,2,162167
593,Třebonín,5,2,170364
594,Adamov,5,2,171476
595,Schořov,5,2,171484
596,Tupadly,5,2,171492
597,Vinaře,5,2,182206
598,Vinice,5,2,182214
599,Vlačice,5,2,183211
600,Kozohlody,5,2,183954
601,Přibyslavice,5,2,183962
602,Vlkaneč,5,2,183971
603,Dolní Bučice,5,2,186210
604,Horní Bučice,5,2,186228
605,Vrdy,5,2,186236
606,Zbyslav,5,2,186244
607,Čejkovice,5,2,192015
608,Damírov,5,2,192023
609,Dědice,5,2,192031
610,Dobrovítov,5,2,192040
611,Chlum,5,2,192058
612,Klucké Chvalovice,5,2,192066
613,Krchlebská Lhota,5,2,192074
614,Opatovice,5,2,192082
615,Zbýšov,5,2,192091
616,Štrampouch,5,2,194280
617,Žáky,5,2,194298
618,Bojmany,5,2,195740
619,Borek,5,2,195758
620,Horka I,5,2,195766
621,Horušice,5,2,195774
622,Svobodná Ves,5,2,195782
623,Žehušice,5,2,195791
624,Kamenné Mosty,5,2,197629
625,Markovice,5,2,197637
626,Zehuby,5,2,197645
627,Žleby,5,2,197653
628,Čáslav-Nové Město,5,2,402214
629,Čáslav-Staré Město,5,2,402222
630,Druhanice,5,2,402290
631,Výčapy,5,2,402362
632,Bojanovice,6,2,6866
633,Bratřínov,6,2,9725
634,Buš,6,2,16250
635,Černolice,6,2,20354
636,Červený Újezd,6,2,21202
637,Bojov,6,2,23931
638,Čisovice,6,2,23949
639,Davle,6,2,24813
640,Sázava,6,2,24830
641,Sloup,6,2,24848
642,Dobrovíz,6,2,27481
643,Dobříč,6,2,27766
644,Dobřichovice,6,2,27812
645,Karlík,6,2,27821
646,Dolní Břežany,6,2,28797
647,Lhota,6,2,28801
648,Zálepy,6,2,28819
649,Drahelčice,6,2,31534
650,Holubice,6,2,41459
651,Kozinec,6,2,41467
652,Horoměřice,6,2,44776
653,Břve,6,2,45829
654,Hostivice,6,2,45837
655,Brunšov,6,2,47538
656,Hradištko,6,2,47546
657,Pikovice,6,2,47554
658,Hvozdnice,6,2,50326
659,Choteč,6,2,52981
660,Chýnice,6,2,52990
661,Chrášťany,6,2,54011
662,Chýně,6,2,55468
663,Jeneč,6,2,58262
664,Horní Jirčany,6,2,58602
665,Jesenice,6,2,58611
666,Borek,6,2,60071
667,Jílové u Prahy,6,2,60097
668,Kabáty,6,2,60101
669,Radlík,6,2,60119
670,Žampach,6,2,60127
671,Jíloviště,6,2,60178
672,Trnová,6,2,60186
673,Jinočany,6,2,60747
674,Hostěradice,6,2,62863
675,Kamenný Přívoz,6,2,62871
676,Kamenný Újezdec,6,2,62880
677,Klínec,6,2,66346
678,Kněževes,6,2,66851
679,Kosoř,6,2,69973
680,Kytín,6,2,78751
681,Lety,6,2,80764
682,Libčice nad Vltavou,6,2,81833
683,Libeň,6,2,82554
684,Libeř,6,2,82562
685,Lichoceves,6,2,83798
686,Noutonice,6,2,83801
687,Okoř,6,2,83810
688,Líšnice,6,2,85057
689,Luka pod Medníkem,6,2,88757
690,Malá Lečice,6,2,90107
691,Masečín,6,2,92207
692,Měchenice,6,2,92711
693,Mníšek pod Brdy,6,2,97624
694,Zahořany,6,2,97659
695,Nučice,6,2,108065
696,Ohrobec,6,2,109355
697,Okrouhlo,6,2,109711
698,Zahořany,6,2,109720
699,Ořech,6,2,112607
700,Osnice,6,2,113271
701,Zdiměřice,6,2,113280
702,Chlomek,6,2,119741
703,Petrov,6,2,119750
704,Chotouň,6,2,124893
705,Pohoří,6,2,124907
706,Skalsko,6,2,124915
707,Rozkoš,6,2,133981
708,Dolní Jirčany,6,2,136417
709,Psáry,6,2,136425
710,Ptice,6,2,136638
711,Kuchařík,6,2,140180
712,Roblín,6,2,140198
713,Rudná,6,2,143316
714,Řevnice,6,2,145378
715,Řitka,6,2,145807
716,Senešnice,6,2,147427
717,Slapy,6,2,149616
718,Černý Vůl,6,2,155331
719,Statenice,6,2,155349
720,Středokluky,6,2,157384
721,Hole,6,2,161594
722,Svrkyně,6,2,161608
723,Štěchovice,6,2,163252
724,Třebenice,6,2,163261
725,Tachlovice,6,2,164828
726,Kala,6,2,170372
727,Solopisky,6,2,170381
728,Třebotov,6,2,170399
729,Tursko,6,2,171751
730,Úholičky,6,2,173231
731,Úhonice,6,2,173240
732,Únětice,6,2,174416
733,Velké Přílepy,6,2,179361
734,Vestec,6,2,181021
735,Vonoklasy,6,2,184985
736,Vrané nad Vltavou,6,2,185311
737,Všenory,6,2,187275
738,Zbuzany,6,2,191965
739,Hodkovice,6,2,193216
740,Zlatníky,6,2,193224
741,Březová,6,2,194026
742,Černíky,6,2,194034
743,Oleško,6,2,194042
744,Zvole,6,2,194051
745,Jarov,6,2,319252
746,Rajchardov,6,2,330671
747,Černošice,6,2,403130
748,Číčovice,6,2,403148
749,Studené,6,2,403156
750,Žampach,6,2,403164
751,Bohuliby,6,2,403172
752,Průhonice,6,2,403181
753,Roztoky,6,2,403199
754,Tuchoměřice,6,2,403202
755,Břežany II,7,2,14958
756,Bříství,7,2,15059
757,Černíky,7,2,20222
758,Štolmíř,7,2,22811
759,Liblice,7,2,22829
760,Doubravčice,7,2,31208
761,Masojedy,7,2,31216
762,Bylany,7,2,53988
763,Chotouň,7,2,53996
764,Chrášťany,7,2,54003
765,Klučov,7,2,66648
766,Lstiboř,7,2,66656
767,Kounice,7,2,71145
768,Krupá,7,2,75221
769,Syneč,7,2,75248
770,Lipany,7,2,83950
771,Poříčany,7,2,125989
772,Přistoupim,7,2,136271
773,Hradešín,7,2,136280
774,Přišimasy,7,2,136298
775,Nová Ves II,7,2,141437
776,Rostoklaty,7,2,141445
777,Skramníky,7,2,148580
778,Žhery,7,2,148598
779,Limuzy,7,2,167151
780,Mrzky,7,2,167169
781,Tismice,7,2,167177
782,Vrátkov,7,2,167185
783,Přehvozdí,7,2,171379
784,Tuchoraz,7,2,171387
785,Tlustovousy,7,2,171417
786,Tuklaty,7,2,171425
787,Dobré Pole,7,2,182788
788,Hřiby,7,2,182796
789,Chotýš,7,2,182800
790,Kšely,7,2,182818
791,Močedník,7,2,182826
792,Vitice,7,2,182834
793,Vykáň,7,2,187551
794,Český Brod,7,2,402141
795,Horka,7,2,402150
796,Skřivany,7,2,402168
797,Borotice,8,2,7633
798,Hubenov,8,2,7641
799,Čelina,8,2,19372
800,Čím,8,2,23809
801,Daleké Dušníky,8,2,24490
802,Druhlice,8,2,24503
803,Dražetice,8,2,32123
804,Chramiště,8,2,32131
805,Drevníky,8,2,32379
806,Slovanská Lhota,8,2,32387
807,Županovice,8,2,32395
808,Drhovy,8,2,32484
809,Háje,8,2,49042
810,Hřiměždice,8,2,49051
811,Vestec,8,2,49069
812,Hněvšín,8,2,53287
813,Chotilsko,8,2,53295
814,Křeničná,8,2,53309
815,Sejcká Lhota,8,2,53317
816,Živohošť,8,2,53325
817,Korkyně,8,2,69515
818,Křížov,8,2,76619
819,Libčice,8,2,81809
820,Malá Hraštice,8,2,90077
821,Velká Hraštice,8,2,90093
